Train 0, loss: 0.278491, train acc: 0.891939, train avg acc: 0.873610, train iou: 0.782924
Test 0, loss: 0.144174, test acc: 0.944922, test avg acc: 0.950322, test iou: 0.885858
Train 1, loss: 0.141025, train acc: 0.947001, train avg acc: 0.937720, train iou: 0.890720
Test 1, loss: 0.137198, test acc: 0.959644, test avg acc: 0.958746, test iou: 0.922112
Train 2, loss: 0.127402, train acc: 0.951493, train avg acc: 0.943611, train iou: 0.899867
Test 2, loss: 0.144985, test acc: 0.955908, test avg acc: 0.950851, test iou: 0.918412
Train 3, loss: 0.116854, train acc: 0.955171, train avg acc: 0.947832, train iou: 0.906645
Test 3, loss: 0.077692, test acc: 0.975952, test avg acc: 0.977578, test iou: 0.949212
Train 4, loss: 0.108730, train acc: 0.958274, train avg acc: 0.951495, train iou: 0.912816
Test 4, loss: 0.093923, test acc: 0.972095, test avg acc: 0.974441, test iou: 0.945740
Train 5, loss: 0.100635, train acc: 0.960947, train avg acc: 0.954766, train iou: 0.918364
Test 5, loss: 0.069509, test acc: 0.979272, test avg acc: 0.977264, test iou: 0.957287
Train 6, loss: 0.100116, train acc: 0.961605, train avg acc: 0.954865, train iou: 0.918428
Test 6, loss: 0.089083, test acc: 0.970850, test avg acc: 0.974300, test iou: 0.939442
Train 7, loss: 0.094902, train acc: 0.963475, train avg acc: 0.957229, train iou: 0.922755
Test 7, loss: 0.064412, test acc: 0.981567, test avg acc: 0.980731, test iou: 0.962841
Train 8, loss: 0.091482, train acc: 0.964832, train avg acc: 0.959224, train iou: 0.926055
Test 8, loss: 0.113810, test acc: 0.966553, test avg acc: 0.967888, test iou: 0.928854
Train 9, loss: 0.091997, train acc: 0.964441, train avg acc: 0.958403, train iou: 0.924824
Test 9, loss: 0.066187, test acc: 0.980273, test avg acc: 0.979623, test iou: 0.960911
Train 10, loss: 0.084249, train acc: 0.967542, train avg acc: 0.961984, train iou: 0.930578
Test 10, loss: 0.060145, test acc: 0.981079, test avg acc: 0.981594, test iou: 0.961234
Train 11, loss: 0.082111, train acc: 0.968229, train avg acc: 0.962759, train iou: 0.932347
Test 11, loss: 0.063918, test acc: 0.979248, test avg acc: 0.977919, test iou: 0.959626
Train 12, loss: 0.081797, train acc: 0.968353, train avg acc: 0.963014, train iou: 0.932588
Test 12, loss: 0.070250, test acc: 0.980444, test avg acc: 0.979832, test iou: 0.961701
Train 13, loss: 0.078508, train acc: 0.969675, train avg acc: 0.964372, train iou: 0.935084
Test 13, loss: 0.053443, test acc: 0.982837, test avg acc: 0.982879, test iou: 0.966076
Train 14, loss: 0.083416, train acc: 0.968004, train avg acc: 0.962392, train iou: 0.931284
Test 14, loss: 0.063021, test acc: 0.981836, test avg acc: 0.982942, test iou: 0.963024
Train 15, loss: 0.079335, train acc: 0.969455, train avg acc: 0.964128, train iou: 0.934579
Test 15, loss: 0.059516, test acc: 0.982471, test avg acc: 0.983341, test iou: 0.965648
Train 16, loss: 0.076033, train acc: 0.970568, train avg acc: 0.965284, train iou: 0.936711
Test 16, loss: 0.060798, test acc: 0.981860, test avg acc: 0.981306, test iou: 0.964272
Train 17, loss: 0.082284, train acc: 0.968589, train avg acc: 0.962920, train iou: 0.932184
Test 17, loss: 0.056381, test acc: 0.982080, test avg acc: 0.982978, test iou: 0.964911
Train 18, loss: 0.076543, train acc: 0.970643, train avg acc: 0.965355, train iou: 0.936746
Test 18, loss: 0.057726, test acc: 0.981812, test avg acc: 0.980781, test iou: 0.964467
Train 19, loss: 0.071499, train acc: 0.972628, train avg acc: 0.967378, train iou: 0.940432
Test 19, loss: 0.058684, test acc: 0.982812, test avg acc: 0.982959, test iou: 0.966653
Train 20, loss: 0.077963, train acc: 0.970296, train avg acc: 0.964263, train iou: 0.934411
Test 20, loss: 0.057609, test acc: 0.982056, test avg acc: 0.981074, test iou: 0.964466
Train 21, loss: 0.073351, train acc: 0.971735, train avg acc: 0.966337, train iou: 0.938636
Test 21, loss: 0.054243, test acc: 0.981689, test avg acc: 0.981292, test iou: 0.964102
Train 22, loss: 0.069339, train acc: 0.973274, train avg acc: 0.968169, train iou: 0.941898
Test 22, loss: 0.052462, test acc: 0.982935, test avg acc: 0.982270, test iou: 0.966678
Train 23, loss: 0.069572, train acc: 0.973215, train avg acc: 0.967912, train iou: 0.941347
Test 23, loss: 0.054331, test acc: 0.983252, test avg acc: 0.983260, test iou: 0.967765
Train 24, loss: 0.067609, train acc: 0.973827, train avg acc: 0.968991, train iou: 0.943137
Test 24, loss: 0.051996, test acc: 0.984521, test avg acc: 0.985016, test iou: 0.969709
Train 25, loss: 0.069893, train acc: 0.972956, train avg acc: 0.967980, train iou: 0.941524
Test 25, loss: 0.051433, test acc: 0.984131, test avg acc: 0.984853, test iou: 0.969073
Train 26, loss: 0.063666, train acc: 0.975434, train avg acc: 0.970720, train iou: 0.946314
Test 26, loss: 0.051796, test acc: 0.984424, test avg acc: 0.985221, test iou: 0.969526
Train 27, loss: 0.064320, train acc: 0.975219, train avg acc: 0.970444, train iou: 0.945861
Test 27, loss: 0.055890, test acc: 0.983179, test avg acc: 0.983808, test iou: 0.966953
Train 28, loss: 0.066273, train acc: 0.974442, train avg acc: 0.969609, train iou: 0.944341
Test 28, loss: 0.064535, test acc: 0.980591, test avg acc: 0.981180, test iou: 0.962976
Train 29, loss: 0.065239, train acc: 0.975041, train avg acc: 0.970032, train iou: 0.945245
Test 29, loss: 0.054970, test acc: 0.982446, test avg acc: 0.981229, test iou: 0.965788
Train 30, loss: 0.074238, train acc: 0.971701, train avg acc: 0.965912, train iou: 0.937645
Test 30, loss: 0.058035, test acc: 0.981177, test avg acc: 0.980142, test iou: 0.963059
Train 31, loss: 0.064484, train acc: 0.975119, train avg acc: 0.970160, train iou: 0.945442
Test 31, loss: 0.056781, test acc: 0.982983, test avg acc: 0.982181, test iou: 0.966757
Train 32, loss: 0.063106, train acc: 0.975600, train avg acc: 0.970899, train iou: 0.946692
Test 32, loss: 0.051617, test acc: 0.983862, test avg acc: 0.983915, test iou: 0.968767
Train 33, loss: 0.062558, train acc: 0.975828, train avg acc: 0.971190, train iou: 0.947299
Test 33, loss: 0.055019, test acc: 0.982593, test avg acc: 0.981181, test iou: 0.965429
Train 34, loss: 0.063278, train acc: 0.975660, train avg acc: 0.970832, train iou: 0.946606
Test 34, loss: 0.062246, test acc: 0.980957, test avg acc: 0.981285, test iou: 0.962186
Train 35, loss: 0.062653, train acc: 0.975723, train avg acc: 0.971021, train iou: 0.946998
Test 35, loss: 0.051813, test acc: 0.983911, test avg acc: 0.984016, test iou: 0.968884
Train 36, loss: 0.059347, train acc: 0.977105, train avg acc: 0.972595, train iou: 0.949568
Test 36, loss: 0.048719, test acc: 0.984082, test avg acc: 0.984921, test iou: 0.969095
Train 37, loss: 0.060553, train acc: 0.976516, train avg acc: 0.971998, train iou: 0.948616
Test 37, loss: 0.052229, test acc: 0.984277, test avg acc: 0.985295, test iou: 0.969133
Train 38, loss: 0.059667, train acc: 0.976937, train avg acc: 0.972354, train iou: 0.949289
Test 38, loss: 0.054216, test acc: 0.983081, test avg acc: 0.981684, test iou: 0.966335
Train 39, loss: 0.061620, train acc: 0.976239, train avg acc: 0.971569, train iou: 0.947861
Test 39, loss: 0.053940, test acc: 0.982227, test avg acc: 0.980833, test iou: 0.965357
Train 40, loss: 0.062325, train acc: 0.975861, train avg acc: 0.971165, train iou: 0.947001
Test 40, loss: 0.055727, test acc: 0.983130, test avg acc: 0.983802, test iou: 0.967429
Train 41, loss: 0.056886, train acc: 0.977894, train avg acc: 0.973607, train iou: 0.951363
Test 41, loss: 0.053069, test acc: 0.984058, test avg acc: 0.984709, test iou: 0.969637
Train 42, loss: 0.059393, train acc: 0.977040, train avg acc: 0.972424, train iou: 0.949156
Test 42, loss: 0.080532, test acc: 0.979810, test avg acc: 0.976950, test iou: 0.960215
Train 43, loss: 0.061338, train acc: 0.976403, train avg acc: 0.971711, train iou: 0.948076
Test 43, loss: 0.049958, test acc: 0.983740, test avg acc: 0.984792, test iou: 0.968322
Train 44, loss: 0.056597, train acc: 0.978042, train avg acc: 0.973668, train iou: 0.951630
Test 44, loss: 0.047679, test acc: 0.985181, test avg acc: 0.986353, test iou: 0.970852
Train 45, loss: 0.058124, train acc: 0.977471, train avg acc: 0.973081, train iou: 0.950466
Test 45, loss: 0.053035, test acc: 0.984131, test avg acc: 0.984258, test iou: 0.969732
Train 46, loss: 0.057085, train acc: 0.977897, train avg acc: 0.973616, train iou: 0.951401
Test 46, loss: 0.045384, test acc: 0.984351, test avg acc: 0.984894, test iou: 0.969571
Train 47, loss: 0.056516, train acc: 0.978087, train avg acc: 0.973757, train iou: 0.951777
Test 47, loss: 0.050292, test acc: 0.985449, test avg acc: 0.986466, test iou: 0.971557
Train 48, loss: 0.056200, train acc: 0.978161, train avg acc: 0.973871, train iou: 0.951813
Test 48, loss: 0.052900, test acc: 0.985303, test avg acc: 0.986543, test iou: 0.971388
Train 49, loss: 0.057025, train acc: 0.977819, train avg acc: 0.973588, train iou: 0.951332
Test 49, loss: 0.048438, test acc: 0.985083, test avg acc: 0.986025, test iou: 0.970943
Train 50, loss: 0.056737, train acc: 0.978033, train avg acc: 0.973650, train iou: 0.951469
Test 50, loss: 0.048737, test acc: 0.985083, test avg acc: 0.986067, test iou: 0.970789
Train 51, loss: 0.055777, train acc: 0.978312, train avg acc: 0.974023, train iou: 0.952097
Test 51, loss: 0.050197, test acc: 0.983813, test avg acc: 0.984863, test iou: 0.969018
Train 52, loss: 0.055812, train acc: 0.978335, train avg acc: 0.974099, train iou: 0.952270
Test 52, loss: 0.048067, test acc: 0.984912, test avg acc: 0.985757, test iou: 0.970666
Train 53, loss: 0.055086, train acc: 0.978668, train avg acc: 0.974391, train iou: 0.952967
Test 53, loss: 0.053421, test acc: 0.983569, test avg acc: 0.984319, test iou: 0.968063
Train 54, loss: 0.055979, train acc: 0.978291, train avg acc: 0.974028, train iou: 0.952147
Test 54, loss: 0.048439, test acc: 0.984033, test avg acc: 0.984924, test iou: 0.969067
Train 55, loss: 0.056238, train acc: 0.978174, train avg acc: 0.973861, train iou: 0.951929
Test 55, loss: 0.045594, test acc: 0.984277, test avg acc: 0.984071, test iou: 0.969614
Train 56, loss: 0.054539, train acc: 0.978833, train avg acc: 0.974551, train iou: 0.953180
Test 56, loss: 0.049642, test acc: 0.984814, test avg acc: 0.984928, test iou: 0.971046
Train 57, loss: 0.055204, train acc: 0.978539, train avg acc: 0.974318, train iou: 0.952661
Test 57, loss: 0.048368, test acc: 0.984229, test avg acc: 0.984527, test iou: 0.969525
Train 58, loss: 0.052653, train acc: 0.979675, train avg acc: 0.975526, train iou: 0.954792
Test 58, loss: 0.097883, test acc: 0.975391, test avg acc: 0.979460, test iou: 0.955005
Train 59, loss: 0.066334, train acc: 0.974781, train avg acc: 0.969495, train iou: 0.944053
Test 59, loss: 0.050040, test acc: 0.983618, test avg acc: 0.983809, test iou: 0.968635
Train 60, loss: 0.053275, train acc: 0.979486, train avg acc: 0.975203, train iou: 0.954364
Test 60, loss: 0.051691, test acc: 0.984521, test avg acc: 0.985572, test iou: 0.970416
Train 61, loss: 0.052395, train acc: 0.979578, train avg acc: 0.975459, train iou: 0.954769
Test 61, loss: 0.047393, test acc: 0.984546, test avg acc: 0.985497, test iou: 0.970057
Train 62, loss: 0.051945, train acc: 0.979779, train avg acc: 0.975809, train iou: 0.955204
Test 62, loss: 0.047485, test acc: 0.985718, test avg acc: 0.986738, test iou: 0.972608
Train 63, loss: 0.055254, train acc: 0.978510, train avg acc: 0.974310, train iou: 0.952671
Test 63, loss: 0.047105, test acc: 0.985083, test avg acc: 0.985528, test iou: 0.971130
Train 64, loss: 0.052511, train acc: 0.979588, train avg acc: 0.975637, train iou: 0.954916
Test 64, loss: 0.050484, test acc: 0.983667, test avg acc: 0.983891, test iou: 0.969033
Train 65, loss: 0.053553, train acc: 0.979224, train avg acc: 0.975107, train iou: 0.954010
Test 65, loss: 0.050197, test acc: 0.983691, test avg acc: 0.983872, test iou: 0.968451
Train 66, loss: 0.055574, train acc: 0.978545, train avg acc: 0.974185, train iou: 0.952226
Test 66, loss: 0.047958, test acc: 0.984180, test avg acc: 0.984214, test iou: 0.969417
Train 67, loss: 0.050990, train acc: 0.980205, train avg acc: 0.976185, train iou: 0.956080
Test 67, loss: 0.049795, test acc: 0.984058, test avg acc: 0.984213, test iou: 0.969338
Train 68, loss: 0.051624, train acc: 0.979869, train avg acc: 0.975903, train iou: 0.955480
Test 68, loss: 0.068682, test acc: 0.980396, test avg acc: 0.979312, test iou: 0.963132
Train 69, loss: 0.051863, train acc: 0.979909, train avg acc: 0.975833, train iou: 0.955241
Test 69, loss: 0.047225, test acc: 0.984717, test avg acc: 0.985057, test iou: 0.970637
Train 70, loss: 0.050683, train acc: 0.980283, train avg acc: 0.976321, train iou: 0.956268
Test 70, loss: 0.046587, test acc: 0.985376, test avg acc: 0.985925, test iou: 0.971617
Train 71, loss: 0.051930, train acc: 0.979802, train avg acc: 0.975812, train iou: 0.955288
Test 71, loss: 0.048501, test acc: 0.984888, test avg acc: 0.985294, test iou: 0.970303
Train 72, loss: 0.050780, train acc: 0.980288, train avg acc: 0.976358, train iou: 0.956323
Test 72, loss: 0.051260, test acc: 0.983984, test avg acc: 0.983932, test iou: 0.969320
Train 73, loss: 0.053294, train acc: 0.979338, train avg acc: 0.975056, train iou: 0.953808
Test 73, loss: 0.056168, test acc: 0.982007, test avg acc: 0.981732, test iou: 0.965942
Train 74, loss: 0.052006, train acc: 0.979780, train avg acc: 0.975707, train iou: 0.955116
Test 74, loss: 0.047962, test acc: 0.984570, test avg acc: 0.984678, test iou: 0.970540
Train 75, loss: 0.050883, train acc: 0.980201, train avg acc: 0.976316, train iou: 0.956123
Test 75, loss: 0.050691, test acc: 0.984717, test avg acc: 0.984804, test iou: 0.970385
